GeneID,PC1,PC2,PC3,PC4,PC5,PC6,PC7
GNAI3,-0.662839026,-1.354908229,1.358979891,0.137867915,-1.0672609,0.693242415,0.54159237
SCML2,2.061718308,-0.065320421,1.42144693,0.798709067,0.624467666,-0.200789556,1.905281565
NARF,-2.212058951,0.087152172,-1.282528102,0.19689676,0.361398828,-0.08711313,0.370377071
CAV2,1.968108546,0.007134715,0.716686464,-1.098543747,-1.340727079,1.118174912,-0.548052653
KLF6,-0.051065576,2.567064232,-0.438968526,0.208539083,0.12986017,0.098855711,0.743074558
SCMH1,-1.973802085,0.721944795,-0.782227243,0.345033135,0.033477519,0.255854058,-0.396569244
COX5A,2.553273142,1.834665106,1.273989734,-1.019966762,0.671125062,0.029726117,-0.032270271
TBX2,1.192970492,0.732108677,-0.150208515,-2.065586749,0.398209228,-0.331932631,-0.973972061
NGFR,-1.064658223,1.758261827,-0.801015309,1.159396292,0.439482432,0.265167211,-0.506082652
WNT9A,0.330624768,0.30533245,-1.567850239,-1.907631136,-0.454927376,1.46345824,1.112970023
FER,-1.464707326,0.14763317,0.960287877,0.650714223,0.072716573,0.93794014,-0.58929929
XPO6,0.888617554,-1.414337948,0.830595491,0.168904209,2.831491614,-0.747295074,-0.758983681
TFE3,0.643058461,-1.344321571,-0.822784989,-2.018169901,-1.216692969,0.0252327,0.361162308
AXIN2,2.894660002,1.07081169,0.053897107,-0.744516494,0.150293641,-0.463766411,1.426733717
BRAT1,-1.15000551,0.677085081,-0.675497803,-0.373460892,0.294849609,-0.692310893,-0.711026999
GNA12,1.559558529,-1.13863688,0.60215178,1.958543646,0.400016412,1.406719506,-0.194145006
SLC22A18,0.051510336,0.216435355,-1.652750468,-1.410405898,-1.496157157,0.327631564,0.642259423
PIH1D2,0.538916865,-0.224049046,1.497759286,1.414453839,-0.37804711,-0.725888369,0.482396722
DLAT,2.538243916,1.677828309,0.703400115,-1.405945912,0.235635599,0.689841823,0.038200638
SDHD,1.747904491,2.210501954,0.553270586,-1.579036464,0.161906438,0.756337946,-0.223933531
FGF6,1.435021462,0.012806071,-1.674587947,1.876628053,0.239401031,-0.962187907,-1.032212763
CCND2,1.246337259,-0.819456289,0.210714352,1.489353919,-2.018689617,-0.274404667,0.771408907
GPR107,-2.008241408,-0.50817717,1.289830209,-0.266835632,0.535994107,-0.128457803,0.474006499
NALCN,3.006220854,1.408478128,-0.842526254,-1.139137898,0.914949104,-1.183424479,-0.207353298
DRP2,2.20494257,0.342834874,2.156481825,-0.258487819,0.126147805,-0.304418359,-0.259150037
TSPAN32,-0.195836545,-1.548609311,-1.838580496,0.09382073,-0.583508547,0.881854757,0.612588766
GMPR,-0.847780513,2.382734257,-1.081665209,0.210249763,0.412504094,0.364065468,-0.40690743
MID2,2.685292028,-1.432003592,0.197375042,0.11544202,-0.921781565,-0.041748914,0.590485719
TRIM25,1.083374548,-1.641614311,0.331124954,-0.561850402,-1.869617531,0.464350116,0.627848448
DGKE,0.958344495,-0.322944572,-0.80363994,-1.801448445,-0.344706836,0.04725181,-1.651418483
SCPEP1,1.984858024,-0.274533899,-1.41316342,0.987611218,-1.480287368,0.2405862,0.271256579
MNT,-0.87491439,1.462191489,-0.306324131,1.582585105,1.302856245,-0.548631253,-0.914976059
ITGB2,2.022513651,-0.494990147,-2.567702235,0.927019594,-0.063144283,0.447754751,0.559579329
HDDC2,2.313570418,1.558171142,-1.095170968,-0.261844764,0.419740642,-0.701047977,1.96745521
